Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
wayaapamimaawaten,"you (sg.) must be seeing him/her, them (obv.)",2s→3' TA Conjunct Dubitative,you must be seeing them(sing.)
waapamimaawatipanen,"you (sg.) must have seen him/her, them (obv.)",2s→3' TA Conjunct Dubitative Preterit,you must have seen them(sing.)
waapamimaawekipanen,"you (pl.) must have seen him/her, them (obv.)",2p→3' TA Conjunct Dubitative Preterit,you must have seen them(sing.)
wayaapamimaawekwen,"you (pl.) must be seeing him/her, them (obv.)",2p→3' TA Conjunct Dubitative,you must be seeing them(sing.)
wayaapamimaawinten,"people must be seeing him/her, them (obv.)",X→3' TA Conjunct Dubitative,people must be seeing them(sing.)
waapamimaawintipanen,"people must have seen him/her, them (obv.)",X→3' TA Conjunct Dubitative Preterit,people must have seen them(sing.)
waapamimak,"I see him/her, them (obv.)",1s→3' TA Conjunct Indicative,I see them(sing.)
waapamimakipan,"I saw him/her, them (obv.)",1s→3' TA Conjunct Preterit,I saw them(sing.)
waapamimaniktipan,"we (excl.) saw him/her, them (obv.)",1p→3' TA Conjunct Preterit,we saw them(sing.)
waapamimank,"we (incl.) see him/her, them (obv.)",21→3' TA Conjunct Indicative,we see them(sing.)
waapamimankipan,"we (incl.) saw him/her, them (obv.)",21→3' TA Conjunct Preterit,we saw them(sing.)
waapamimankit,"we (excl.) see him/her, them (obv.)",1p→3' TA Conjunct Indicative,we see them(sing.)
waapamimat,"you (sg.) see him/her, them (obv.)",2s→3' TA Conjunct Indicative,you see them(sing.)
waapamimatipan,"you (sg.) saw him/her, them (obv.)",2s→3' TA Conjunct Preterit,you saw them(sing.)
waapamimek,"you (pl.) see him/her, them (obv.)",2p→3' TA Conjunct Indicative,you see them(sing.)
waapamimekipan,"you (pl.) saw him/her, them (obv.)",2p→3' TA Conjunct Preterit,you saw them(sing.)
waapamimint,"people see him/her, them (obv.)",X→3' TA Conjunct Indicative,people see them(sing.)
waapamimintipan,"people saw him/her, them (obv.)",X→3' TA Conjunct Preterit,people saw them(sing.)
miicikopan,"s/he must have ate it, them (inan.)",3s→0 TI3 Independent Dubitative Preterit,they(sing.) must have ate it
miicikopanen,"s/he must have ate it, them (inan.)",3s→0 TI3 Conjunct Dubitative Preterit,they(sing.) must have ate it
miicikwaapan,"they (anim.) must have ate it, them (inan.)",3p→0 TI3 Independent Dubitative Preterit,they(plur.) must have ate it
maacikwen,"s/he must be eating it, them (inan.)",3s→0 TI3 Conjunct Dubitative,they(sing.) must be eating it
miicinikopan,"s/he, they (obv.) must have ate it, them (inan.)",3'→0 TI3 Independent Dubitative Preterit,they(plur.) must have ate it
miicinikopan,"s/he, they (obv.) must have ate it, them (inan.)",3'→0 TI3 Independent Dubitative Preterit,they(sing.) must have ate it
miicinikopanen,"s/he, they (obv.) must have ate it, them (inan.)",3'→0 TI3 Conjunct Dubitative Preterit,they(plur.) must have ate it
miicinikopanen,"s/he, they (obv.) must have ate it, them (inan.)",3'→0 TI3 Conjunct Dubitative Preterit,they(sing.) must have ate it
maacinikwen,"s/he, they (obv.) must be eating it, them (inan.)",3'→0 TI3 Conjunct Dubitative,they(plur.) must be eating it
maacinikwen,"s/he, they (obv.) must be eating it, them (inan.)",3'→0 TI3 Conjunct Dubitative,they(sing.) must be eating it
miicinippan,"s/he, they (obv.) ate it, them (inan.)",3'→0 TI3 Conjunct Preterit,they(plur.) ate it
miicinippan,"s/he, they (obv.) ate it, them (inan.)",3'→0 TI3 Conjunct Preterit,they(sing.) ate it
miicinit,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Conjunct Indicative,they(plur.) eat it
miicinit,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Conjunct Indicative,they(sing.) eat it
wanittookopan,"s/he must have lost it, them (inan.)",3s→0 TI2 Independent Dubitative Preterit,they(sing.) must have lost it
wanittookopanen,"s/he must have lost it, them (inan.)",3s→0 TI2 Conjunct Dubitative Preterit,they(sing.) must have lost it
wanittookwaapan,"they (anim.) must have lost it, them (inan.)",3p→0 TI2 Independent Dubitative Preterit,they(plur.) must have lost it
wenittookwen,"s/he must be losing it, them (inan.)",3s→0 TI2 Conjunct Dubitative,they(sing.) must be losing it
wanittoonikopan,"s/he, they (obv.) must have lost it, them (inan.)",3'→0 TI2 Independent Dubitative Preterit,they(plur.) must have lost it
wanittoonikopan,"s/he, they (obv.) must have lost it, them (inan.)",3'→0 TI2 Independent Dubitative Preterit,they(sing.) must have lost it
wanittoonikopanen,"s/he, they (obv.) must have lost it, them (inan.)",3'→0 TI2 Conjunct Dubitative Preterit,they(plur.) must have lost it
wanittoonikopanen,"s/he, they (obv.) must have lost it, them (inan.)",3'→0 TI2 Conjunct Dubitative Preterit,they(sing.) must have lost it
wenittoonikwen,"s/he, they (obv.) must be losing it, them (inan.)",3'→0 TI2 Conjunct Dubitative,they(plur.) must be losing it
wenittoonikwen,"s/he, they (obv.) must be losing it, them (inan.)",3'→0 TI2 Conjunct Dubitative,they(sing.) must be losing it
wanittoonippan,"s/he, they (obv.) lost it, them (inan.)",3'→0 TI2 Conjunct Preterit,they(plur.) lost it
wanittoonippan,"s/he, they (obv.) lost it, them (inan.)",3'→0 TI2 Conjunct Preterit,they(sing.) lost it
wanittoonit,"s/he, they (obv.) lose it, them (inan.)",3'→0 TI2 Conjunct Indicative,they(plur.) lose it
wanittoonit,"s/he, they (obv.) lose it, them (inan.)",3'→0 TI2 Conjunct Indicative,they(sing.) lose it
wanittooppan,"s/he lost it, them (inan.)",3s→0 TI2 Conjunct Preterit,they(sing.) lost it
wanittoossiikopan,"s/he must not have lost it, them (inan.)",3s→0 TI2 Independent Dubitative Preterit,they(sing.) must not have lost it
wanittoossiikopanen,"s/he must not have lost it, them (inan.)",3s→0 TI2 Conjunct Dubitative Preterit,they(sing.) must not have lost it
wanittoossiikwaapan,"they (anim.) must not have lost it, them (inan.)",3p→0 TI2 Independent Dubitative Preterit,they(plur.) must not have lost it
wenittoossiikwen,"s/he must not be losing it, them (inan.)",3s→0 TI2 Conjunct Dubitative,they(sing.) must not be losing it
wanittoossiinikopan,"s/he, they (obv.) must not have lost it, them (inan.)",3'→0 TI2 Independent Dubitative Preterit,they(plur.) must not have lost it
wanittoossiinikopan,"s/he, they (obv.) must not have lost it, them (inan.)",3'→0 TI2 Independent Dubitative Preterit,they(sing.) must not have lost it
wanittoossiinikopanen,"s/he, they (obv.) must not have lost it, them (inan.)",3'→0 TI2 Conjunct Dubitative Preterit,they(plur.) must not have lost it
wanittoossiinikopanen,"s/he, they (obv.) must not have lost it, them (inan.)",3'→0 TI2 Conjunct Dubitative Preterit,they(sing.) must not have lost it
wenittoossiinikwen,"s/he, they (obv.) must not be losing it, them (inan.)",3'→0 TI2 Conjunct Dubitative,they(plur.) must not be losing it
wenittoossiinikwen,"s/he, they (obv.) must not be losing it, them (inan.)",3'→0 TI2 Conjunct Dubitative,they(sing.) must not be losing it
wanittoossiiwaakopanen,"they (anim.) must not have lost it, them (inan.)",3p→0 TI2 Conjunct Dubitative Preterit,they(plur.) must not have lost it
wenittoossiiwaakwen,"they (anim.) must not be losing it, them (inan.)",3p→0 TI2 Conjunct Dubitative,they(plur.) must not be losing it
wanittoossiiwaampaanen,"I must not have lost it, them (inan.)",1s→0 TI2 Conjunct Dubitative Preterit,I must not have lost it
wenittoossiiwaanen,"I must not be losing it, them (inan.)",1s→0 TI2 Conjunct Dubitative,I must not be losing it
wenittoossiiwaanken,"we (excl.) must not be losing it, them (inan.)",1p→0 TI2 Conjunct Dubitative,we must not be losing it
wanittoossiiwaankipanen,"we (excl.) must not have lost it, them (inan.)",1p→0 TI2 Conjunct Dubitative Preterit,we must not have lost it
wanittoossiiwampanen,"you (sg.) must not have lost it, them (inan.)",2s→0 TI2 Conjunct Dubitative Preterit,you must not have lost it
wenittoossiiwanen,"you (sg.) must not be losing it, them (inan.)",2s→0 TI2 Conjunct Dubitative,you must not be losing it
wenittoossiiwanken,"we (incl.) must not be losing it, them (inan.)",21→0 TI2 Conjunct Dubitative,we must not be losing it
wanittoossiiwankipanen,"we (incl.) must not have lost it, them (inan.)",21→0 TI2 Conjunct Dubitative Preterit,we must not have lost it
wanittoossiiwekipanen,"you (pl.) must not have lost it, them (inan.)",2p→0 TI2 Conjunct Dubitative Preterit,you must not have lost it
wenittoossiiwekwen,"you (pl.) must not be losing it, them (inan.)",2p→0 TI2 Conjunct Dubitative,you must not be losing it
wanittoossik,"s/he does not lose it, them (inan.)",3s→0 TI2 Conjunct Indicative,FLAGthey(sing.) does not lose it
wanittoossikopan,"s/he did not lose it, them (inan.)",3s→0 TI2 Conjunct Preterit,they(sing.) did not lose it
wanittoossikwaa,"they (anim.) do not lose it, them (inan.)",3p→0 TI2 Conjunct Indicative,they(plur.) do not lose it
wanittoossikwaapan,"they (anim.) did not lose it, them (inan.)",3p→0 TI2 Conjunct Preterit,they(plur.) did not lose it
wanittoossinik,"s/he, they (obv.) do not lose it, them (inan.)",3'→0 TI2 Conjunct Indicative,they(plur.) do not lose it
wanittoossinik,"s/he, they (obv.) do not lose it, them (inan.)",3'→0 TI2 Conjunct Indicative,they(sing.) do not lose it
wanittoossinikopan,"s/he, they (obv.) did not lose it, them (inan.)",3'→0 TI2 Conjunct Preterit,they(plur.) did not lose it
wanittoossinikopan,"s/he, they (obv.) did not lose it, them (inan.)",3'→0 TI2 Conjunct Preterit,they(sing.) did not lose it
wanittoossiwaampaan,"I did not lose it, them (inan.)",1s→0 TI2 Conjunct Preterit,I did not lose it
wanittoossiwaan,"I do not lose it, them (inan.)",1s→0 TI2 Conjunct Indicative,I do not lose it
wanittoossiwaank,"we (excl.) do not lose it, them (inan.)",1p→0 TI2 Conjunct Indicative,we do not lose it
wanittoossiwaankipan,"we (excl.) did not lose it, them (inan.)",1p→0 TI2 Conjunct Preterit,we did not lose it
wanittoossiwampan,"you (sg.) did not lose it, them (inan.)",2s→0 TI2 Conjunct Preterit,you did not lose it
wanittoossiwan,"you (sg.) do not lose it, them (inan.)",2s→0 TI2 Conjunct Indicative,you do not lose it
wanittoossiwank,"we (incl.) do not lose it, them (inan.)",21→0 TI2 Conjunct Indicative,we do not lose it
wanittoossiwankipan,"we (incl.) did not lose it, them (inan.)",21→0 TI2 Conjunct Preterit,we did not lose it
wanittoossiwek,"you (pl.) do not lose it, them (inan.)",2p→0 TI2 Conjunct Indicative,you do not lose it
wanittoossiwekipan,"you (pl.) did not lose it, them (inan.)",2p→0 TI2 Conjunct Preterit,you did not lose it
wanittoot,"s/he loses it, them (inan.)",3s→0 TI2 Conjunct Indicative,FLAGthey(sing.) loses it
wanittoowaakopanen,"they (anim.) must have lost it, them (inan.)",3p→0 TI2 Conjunct Dubitative Preterit,they(plur.) must have lost it
wenittoowaakwen,"they (anim.) must be losing it, them (inan.)",3p→0 TI2 Conjunct Dubitative,they(plur.) must be losing it
wanittoowaampaanen,"I must have lost it, them (inan.)",1s→0 TI2 Conjunct Dubitative Preterit,I must have lost it
wenittoowaanen,"I must be losing it, them (inan.)",1s→0 TI2 Conjunct Dubitative,I must be losing it
wenittoowaanken,"we (excl.) must be losing it, them (inan.)",1p→0 TI2 Conjunct Dubitative,we must be losing it
wanittoowaankipanen,"we (excl.) must have lost it, them (inan.)",1p→0 TI2 Conjunct Dubitative Preterit,we must have lost it
wanittoowaappan,"they (anim.) lost it, them (inan.)",3p→0 TI2 Conjunct Preterit,they(plur.) lost it
wanittoowaat,"they (anim.) lose it, them (inan.)",3p→0 TI2 Conjunct Indicative,they(plur.) lose it
wanittoowampanen,"you (sg.) must have lost it, them (inan.)",2s→0 TI2 Conjunct Dubitative Preterit,you must have lost it
wenittoowanen,"you (sg.) must be losing it, them (inan.)",2s→0 TI2 Conjunct Dubitative,you must be losing it
wenittoowanken,"we (incl.) must be losing it, them (inan.)",21→0 TI2 Conjunct Dubitative,we must be losing it
wanittoowankipanen,"we (incl.) must have lost it, them (inan.)",21→0 TI2 Conjunct Dubitative Preterit,we must have lost it
wanittoowekipanen,"you (pl.) must have lost it, them (inan.)",2p→0 TI2 Conjunct Dubitative Preterit,you must have lost it
wenittoowekwen,"you (pl.) must be losing it, them (inan.)",2p→0 TI2 Conjunct Dubitative,you must be losing it
wanittooyaampaan,"I lost it, them (inan.)",1s→0 TI2 Conjunct Preterit,I lost it
wanittooyaan,"I lose it, them (inan.)",1s→0 TI2 Conjunct Indicative,I lose it
wanittooyaank,"we (excl.) lose it, them (inan.)",1p→0 TI2 Conjunct Indicative,we lose it
wanittooyaankipan,"we (excl.) lost it, them (inan.)",1p→0 TI2 Conjunct Preterit,we lost it
wanittooyampan,"you (sg.) lost it, them (inan.)",2s→0 TI2 Conjunct Preterit,you lost it
wanittooyan,"you (sg.) lose it, them (inan.)",2s→0 TI2 Conjunct Indicative,you lose it
wanittooyank,"we (incl.) lose it, them (inan.)",21→0 TI2 Conjunct Indicative,we lose it
wanittooyankipan,"we (incl.) lost it, them (inan.)",21→0 TI2 Conjunct Preterit,we lost it
wanittooyek,"you (pl.) lose it, them (inan.)",2p→0 TI2 Conjunct Indicative,you lose it
wanittooyekipan,"you (pl.) lost it, them (inan.)",2p→0 TI2 Conjunct Preterit,you lost it
miicippan,"s/he ate it, them (inan.)",3s→0 TI3 Conjunct Preterit,they(sing.) ate it
miicissiinikopan,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Independent Dubitative Preterit,they(plur.) must not have ate it
miicissiinikopan,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Independent Dubitative Preterit,they(sing.) must not have ate it
miicissiikopan,"s/he must not have ate it, them (inan.)",3s→0 TI3 Independent Dubitative Preterit,they(sing.) must not have ate it
miicissiikopanen,"s/he must not have ate it, them (inan.)",3s→0 TI3 Conjunct Dubitative Preterit,they(sing.) must not have ate it
miicissiikwaapan,"they (anim.) must not have ate it, them (inan.)",3p→0 TI3 Independent Dubitative Preterit,they(plur.) must not have ate it
maacissiikwen,"s/he must not be eating it, them (inan.)",3s→0 TI3 Conjunct Dubitative,they(sing.) must not be eating it
miicissiinikopanen,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Conjunct Dubitative Preterit,they(plur.) must not have ate it
miicissiinikopanen,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Conjunct Dubitative Preterit,they(sing.) must not have ate it
maacissiinikwen,"s/he, they (obv.) must not be eating it, them (inan.)",3'→0 TI3 Conjunct Dubitative,they(plur.) must not be eating it
maacissiinikwen,"s/he, they (obv.) must not be eating it, them (inan.)",3'→0 TI3 Conjunct Dubitative,they(sing.) must not be eating it
miicissiiwaakopanen,"they (anim.) must not have ate it, them (inan.)",3p→0 TI3 Conjunct Dubitative Preterit,they(plur.) must not have ate it
maacissiiwaakwen,"they (anim.) must not be eating it, them (inan.)",3p→0 TI3 Conjunct Dubitative,they(plur.) must not be eating it
miicissiiwaampaanen,"I must not have ate it, them (inan.)",1s→0 TI3 Conjunct Dubitative Preterit,I must not have ate it
maacissiiwaanen,"I must not be eating it, them (inan.)",1s→0 TI3 Conjunct Dubitative,I must not be eating it
maacissiiwaanken,"we (excl.) must not be eating it, them (inan.)",1p→0 TI3 Conjunct Dubitative,we must not be eating it
miicissiiwaankipanen,"we (excl.) must not have ate it, them (inan.)",1p→0 TI3 Conjunct Dubitative Preterit,we must not have ate it
miicissiiwampanen,"you (sg.) must not have ate it, them (inan.)",2s→0 TI3 Conjunct Dubitative Preterit,you must not have ate it
maacissiiwanen,"you (sg.) must not be eating it, them (inan.)",2s→0 TI3 Conjunct Dubitative,you must not be eating it
maacissiiwanken,"we (incl.) must not be eating it, them (inan.)",21→0 TI3 Conjunct Dubitative,we must not be eating it
miicissiiwankipanen,"we (incl.) must not have ate it, them (inan.)",21→0 TI3 Conjunct Dubitative Preterit,we must not have ate it
miicissiiwekipanen,"you (pl.) must not have ate it, them (inan.)",2p→0 TI3 Conjunct Dubitative Preterit,you must not have ate it
maacissiiwekwen,"you (pl.) must not be eating it, them (inan.)",2p→0 TI3 Conjunct Dubitative,you must not be eating it
miicissik,"s/he does not eat it, them (inan.)",3s→0 TI3 Conjunct Indicative,FLAGthey(sing.) does not eat it
miicissikopan,"s/he did not eat it, them (inan.)",3s→0 TI3 Conjunct Preterit,they(sing.) did not eat it
miicissikwaa,"they (anim.) do not eat it, them (inan.)",3p→0 TI3 Conjunct Indicative,they(plur.) do not eat it
miicissikwaapan,"they (anim.) did not eat it, them (inan.)",3p→0 TI3 Conjunct Preterit,they(plur.) did not eat it
miicissinippan,"s/he, they (obv.) did not eat it, them (inan.)",3'→0 TI3 Conjunct Preterit,they(plur.) did not eat it
miicissinippan,"s/he, they (obv.) did not eat it, them (inan.)",3'→0 TI3 Conjunct Preterit,they(sing.) did not eat it
miicissinit,"s/he, they (obv.) do not eat it, them (inan.)",3'→0 TI3 Conjunct Indicative,they(plur.) do not eat it
miicissinit,"s/he, they (obv.) do not eat it, them (inan.)",3'→0 TI3 Conjunct Indicative,they(sing.) do not eat it
miicissiwaampaan,"I did not eat it, them (inan.)",1s→0 TI3 Conjunct Preterit,I did not eat it
miicissiwaan,"I do not eat it, them (inan.)",1s→0 TI3 Conjunct Indicative,I do not eat it
miicissiwaank,"we (excl.) do not eat it, them (inan.)",1p→0 TI3 Conjunct Indicative,we do not eat it
miicissiwaankipan,"we (excl.) did not eat it, them (inan.)",1p→0 TI3 Conjunct Preterit,we did not eat it
miicissiwampan,"you (sg.) did not eat it, them (inan.)",2s→0 TI3 Conjunct Preterit,you did not eat it
miicissiwan,"you (sg.) do not eat it, them (inan.)",2s→0 TI3 Conjunct Indicative,you do not eat it
miicissiwank,"we (incl.) do not eat it, them (inan.)",21→0 TI3 Conjunct Indicative,we do not eat it
miicissiwankipan,"we (incl.) did not eat it, them (inan.)",21→0 TI3 Conjunct Preterit,we did not eat it
miicissiwek,"you (pl.) do not eat it, them (inan.)",2p→0 TI3 Conjunct Indicative,you do not eat it
miicissiwekipan,"you (pl.) did not eat it, them (inan.)",2p→0 TI3 Conjunct Preterit,you did not eat it
miicit,"s/he eats it, them (inan.)",3s→0 TI3 Conjunct Indicative,FLAGthey(sing.) eats it
miiciwaakopanen,"they (anim.) must have ate it, them (inan.)",3p→0 TI3 Conjunct Dubitative Preterit,they(plur.) must have ate it
maaciwaakwen,"they (anim.) must be eating it, them (inan.)",3p→0 TI3 Conjunct Dubitative,they(plur.) must be eating it
miiciwaampaanen,"I must have ate it, them (inan.)",1s→0 TI3 Conjunct Dubitative Preterit,I must have ate it
maaciwaanen,"I must be eating it, them (inan.)",1s→0 TI3 Conjunct Dubitative,I must be eating it
maaciwaanken,"we (excl.) must be eating it, them (inan.)",1p→0 TI3 Conjunct Dubitative,we must be eating it
miiciwaankipanen,"we (excl.) must have ate it, them (inan.)",1p→0 TI3 Conjunct Dubitative Preterit,we must have ate it
miiciwaappan,"they (anim.) ate it, them (inan.)",3p→0 TI3 Conjunct Preterit,they(plur.) ate it
miiciwaat,"they (anim.) eat it, them (inan.)",3p→0 TI3 Conjunct Indicative,they(plur.) eat it
miiciwampanen,"you (sg.) must have ate it, them (inan.)",2s→0 TI3 Conjunct Dubitative Preterit,you must have ate it
maaciwanen,"you (sg.) must be eating it, them (inan.)",2s→0 TI3 Conjunct Dubitative,you must be eating it
maaciwanken,"we (incl.) must be eating it, them (inan.)",21→0 TI3 Conjunct Dubitative,we must be eating it
miiciwankipanen,"we (incl.) must have ate it, them (inan.)",21→0 TI3 Conjunct Dubitative Preterit,we must have ate it
miiciwekipanen,"you (pl.) must have ate it, them (inan.)",2p→0 TI3 Conjunct Dubitative Preterit,you must have ate it
maaciwekwen,"you (pl.) must be eating it, them (inan.)",2p→0 TI3 Conjunct Dubitative,you must be eating it
miiciyaampaan,"I ate it, them (inan.)",1s→0 TI3 Conjunct Preterit,I ate it
miiciyaan,"I eat it, them (inan.)",1s→0 TI3 Conjunct Indicative,I eat it
miiciyaank,"we (excl.) eat it, them (inan.)",1p→0 TI3 Conjunct Indicative,we eat it
miiciyaankipan,"we (excl.) ate it, them (inan.)",1p→0 TI3 Conjunct Preterit,we ate it
miiciyampan,"you (sg.) ate it, them (inan.)",2s→0 TI3 Conjunct Preterit,you ate it
miiciyan,"you (sg.) eat it, them (inan.)",2s→0 TI3 Conjunct Indicative,you eat it
miiciyank,"we (incl.) eat it, them (inan.)",21→0 TI3 Conjunct Indicative,we eat it
miiciyankipan,"we (incl.) ate it, them (inan.)",21→0 TI3 Conjunct Preterit,we ate it
miiciyek,"you (pl.) eat it, them (inan.)",2p→0 TI3 Conjunct Indicative,you eat it
miiciyekipan,"you (pl.) ate it, them (inan.)",2p→0 TI3 Conjunct Preterit,you ate it
kiwaapantaamin,"we (incl.) see it, them (inan.)",21→0 TI1 Independent Indicative,we see it
kiwaapantansiimin,"we (incl.) do not see it, them (inan.)",21→0 TI1 Independent Indicative,we do not see it
kiwaapamimaan,"you (sg.) see him/her, them (obv.)",2s→3' TA Independent Indicative,you see them(sing.)
kiwaapamimaanaan,"we (incl.) see him/her, them (obv.)",21→3' TA Independent Indicative,we see them(sing.)
kiwaapamimaanaapanen,"we (incl.) saw him/her, them (obv.)",21→3' TA Independent Preterit,we saw them(sing.)
kiwaapamimaanaatokenan,"we (incl.) must be seeing him/her, them (obv.)",21→3' TA Independent Dubitative,we must be seeing them(sing.)
kiwaapamimaapanen,"you (sg.) saw him/her, them (obv.)",2s→3' TA Independent Preterit,you saw them(sing.)
kiwaapamimaassiin,"you (sg.) do not see him/her, them (obv.)",2s→3' TA Independent Indicative,you do not see them(sing.)
kiwaapamimaassiipanen,"you (sg.) did not see him/her, them (obv.)",2s→3' TA Independent Preterit,you did not see them(sing.)
kiwaapamimaassiitokenan,"you (sg.) must not be seeing him/her, them (obv.)",2s→3' TA Independent Dubitative,you must not be seeing them(sing.)
kiwaapamimaassiwaanaan,"we (incl.) do not see him/her, them (obv.)",21→3' TA Independent Indicative,we do not see them(sing.)
kiwaapamimaassiwaanaapanen,"we (incl.) did not see him/her, them (obv.)",21→3' TA Independent Preterit,we did not see them(sing.)
kiwaapamimaassiwaanaatokenan,"we (incl.) must not be seeing him/her, them (obv.)",21→3' TA Independent Dubitative,we must not be seeing them(sing.)
kiwaapamimaassiwaawaan,"you (pl.) do not see him/her, them (obv.)",2p→3' TA Independent Indicative,you do not see them(sing.)
kiwaapamimaassiwaawaapanen,"you (pl.) did not see him/her, them (obv.)",2p→3' TA Independent Preterit,you did not see them(sing.)
kiwaapamimaassiwaawaatokenan,"you (pl.) must not be seeing him/her, them (obv.)",2p→3' TA Independent Dubitative,you must not be seeing them(sing.)
kiwaapamimaatokenan,"you (sg.) must be seeing him/her, them (obv.)",2s→3' TA Independent Dubitative,you must be seeing them(sing.)
kiwaapamimaawaan,"you (pl.) see him/her, them (obv.)",2p→3' TA Independent Indicative,you see them(sing.)
kiwaapamimaawaapanen,"you (pl.) saw him/her, them (obv.)",2p→3' TA Independent Preterit,you saw them(sing.)
kiwaapamimaawaatokenan,"you (pl.) must be seeing him/her, them (obv.)",2p→3' TA Independent Dubitative,you must be seeing them(sing.)
kimiicimin,"we (incl.) eat it, them (inan.)",21→0 TI3 Independent Indicative,we eat it
kiwanittoomin,"we (incl.) lose it, them (inan.)",21→0 TI2 Independent Indicative,we lose it
kiwanittoossiimin,"we (incl.) do not lose it, them (inan.)",21→0 TI2 Independent Indicative,we do not lose it
kimiicissiimin,"we (incl.) do not eat it, them (inan.)",21→0 TI3 Independent Indicative,we do not eat it
niwaapantaamin,"we (excl.) see it, them (inan.)",1p→0 TI1 Independent Indicative,we see it
niwaapantansiimin,"we (excl.) do not see it, them (inan.)",1p→0 TI1 Independent Indicative,we do not see it
niwaapamimaan,"I see him/her, them (obv.)",1s→3' TA Independent Indicative,I see them(sing.)
niwaapamimaanaan,"we (excl.) see him/her, them (obv.)",1p→3' TA Independent Indicative,we see them(sing.)
niwaapamimaanaapanen,"we (excl.) saw him/her, them (obv.)",1p→3' TA Independent Preterit,we saw them(sing.)
niwaapamimaanaatokenan,"we (excl.) must be seeing him/her, them (obv.)",1p→3' TA Independent Dubitative,we must be seeing them(sing.)
niwaapamimaapanen,"I saw him/her, them (obv.)",1s→3' TA Independent Preterit,I saw them(sing.)
niwaapamimaassiin,"I do not see him/her, them (obv.)",1s→3' TA Independent Indicative,I do not see them(sing.)
niwaapamimaassiipanen,"I did not see him/her, them (obv.)",1s→3' TA Independent Preterit,I did not see them(sing.)
niwaapamimaassiitokenan,"I must not be seeing him/her, them (obv.)",1s→3' TA Independent Dubitative,I must not be seeing them(sing.)
niwaapamimaassiwaanaan,"we (excl.) do not see him/her, them (obv.)",1p→3' TA Independent Indicative,we do not see them(sing.)
niwaapamimaassiwaanaapanen,"we (excl.) did not see him/her, them (obv.)",1p→3' TA Independent Preterit,we did not see them(sing.)
niwaapamimaassiwaanaatokenan,"we (excl.) must not be seeing him/her, them (obv.)",1p→3' TA Independent Dubitative,we must not be seeing them(sing.)
niwaapamimaatokenan,"I must be seeing him/her, them (obv.)",1s→3' TA Independent Dubitative,I must be seeing them(sing.)
nimiicimin,"we (excl.) eat it, them (inan.)",1p→0 TI3 Independent Indicative,we eat it
niwanittoomin,"we (excl.) lose it, them (inan.)",1p→0 TI2 Independent Indicative,we lose it
niwanittoossiimin,"we (excl.) do not lose it, them (inan.)",1p→0 TI2 Independent Indicative,we do not lose it
nimiicissiimin,"we (excl.) do not eat it, them (inan.)",1p→0 TI3 Independent Indicative,we do not eat it
owaapamaan,"s/he sees him/her, them (obv.)",3s→3' TA Independent Indicative,FLAGthey(sing.) sees them(sing.)
owaapamaani,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(plur.) see them(sing.)
owaapamaani,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(sing.) see them(sing.)
owaapamaaninaapanen,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Independent Preterit,they(plur.) saw them(sing.)
owaapamaaninaapanen,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Independent Preterit,they(sing.) saw them(sing.)
owaapantaanini,"s/he, they (obv.) see it, them (inan.)",3'→0 TI1 Independent Indicative,they(plur.) see it
owaapantaanini,"s/he, they (obv.) see it, them (inan.)",3'→0 TI1 Independent Indicative,they(sing.) see it
owaapamaanini,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(plur.) see them(sing.)
owaapamaanini,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(sing.) see them(sing.)
owaapamaaniniipanen,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Independent Preterit,they(plur.) saw them(sing.)
owaapamaaniniipanen,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Independent Preterit,they(sing.) saw them(sing.)
owaapamaaninitokenan,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Independent Dubitative,they(plur.) must be seeing them(sing.)
owaapamaaninitokenan,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Independent Dubitative,they(sing.) must be seeing them(sing.)
owaapamaapanen,"s/he saw him/her, them (obv.)",3s→3' TA Independent Preterit,they(sing.) saw them(sing.)
owaapamaasiwaawaapanen,"they (anim.) did not see him/her, them (obv.)",3p→3' TA Independent Preterit,they(plur.) did not see them(sing.)
owaapamaassiin,"s/he does not see him/her, them (obv.)",3s→3' TA Independent Indicative,FLAGthey(sing.) does not see them(sing.)
owaapamaassiini,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(plur.) do not see them(sing.)
