No,Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
973,waapamikowaappan,"s/he, they (obv.) saw them (anim.)",3'→3p TA Conjunct Preterit,they(sing.) saw them(plur.)
974,noontaakowaappan,"s/he, they (obv.) heard them (anim.)",3'→3p TA Conjunct Preterit,they(plur.) heard them(plur.)
975,noontaakowaappan,"s/he, they (obv.) heard them (anim.)",3'→3p TA Conjunct Preterit,they(sing.) heard them(plur.)
976,pakkitte'okowaappan,"s/he, they (obv.) hit them (anim.)",3'→3p TA Conjunct Preterit,they(plur.) hit them(plur.)
977,pakkitte'okowaappan,"s/he, they (obv.) hit them (anim.)",3'→3p TA Conjunct Preterit,they(sing.) hit them(plur.)
978,waapamikowaappan,"it, they (inan.) saw them (anim.)",0→3p TA Conjunct Preterit,they(plur.) saw them(plur.)
979,waapamikowaappan,"it, they (inan.) saw them (anim.)",0→3p TA Conjunct Preterit,it saw them(plur.)
980,noontaakowaappan,"it, they (inan.) heard them (anim.)",0→3p TA Conjunct Preterit,they(plur.) heard them(plur.)
981,noontaakowaappan,"it, they (inan.) heard them (anim.)",0→3p TA Conjunct Preterit,it heard them(plur.)
982,pakkitte'okowaappan,"it, they (inan.) hit them (anim.)",0→3p TA Conjunct Preterit,they(plur.) hit them(plur.)
983,pakkitte'okowaappan,"it, they (inan.) hit them (anim.)",0→3p TA Conjunct Preterit,it hit them(plur.)
984,waapamikowaat,"s/he, they (obv.) see them (anim.)",3'→3p TA Conjunct Indicative,they(plur.) see them(plur.)
985,waapamikowaat,"s/he, they (obv.) see them (anim.)",3'→3p TA Conjunct Indicative,they(sing.) see them(plur.)
986,noontaakowaat,"s/he, they (obv.) hear them (anim.)",3'→3p TA Conjunct Indicative,they(plur.) hear them(plur.)
987,noontaakowaat,"s/he, they (obv.) hear them (anim.)",3'→3p TA Conjunct Indicative,they(sing.) hear them(plur.)
988,pakkitte'okowaat,"s/he, they (obv.) hit them (anim.)",3'→3p TA Conjunct Indicative,they(plur.) hit them(plur.)
989,pakkitte'okowaat,"s/he, they (obv.) hit them (anim.)",3'→3p TA Conjunct Indicative,they(sing.) hit them(plur.)
990,waapamikowaat,"it, they (inan.) see them (anim.)",0→3p TA Conjunct Indicative,they(plur.) see them(plur.)
991,waapamikowaat,"it, they (inan.) see them (anim.)",0→3p TA Conjunct Indicative,it sees them(plur.)
992,noontaakowaat,"it, they (inan.) hear them (anim.)",0→3p TA Conjunct Indicative,they(plur.) hear them(plur.)
993,noontaakowaat,"it, they (inan.) hear them (anim.)",0→3p TA Conjunct Indicative,it hears them(plur.)
994,pakkitte'okowaat,"it, they (inan.) hit them (anim.)",0→3p TA Conjunct Indicative,they(plur.) hit them(plur.)
995,pakkitte'okowaat,"it, they (inan.) hit them (anim.)",0→3p TA Conjunct Indicative,it hits them(plur.)
996,waapamikowampanen,"it, they (inan.) must have seen you (sg.)",0→2s TA Conjunct Dubitative Preterit,they(plur.) must have seen you
997,waapamikowampanen,"it, they (inan.) must have seen you (sg.)",0→2s TA Conjunct Dubitative Preterit,it must have seen you
998,noontaakowampanen,"it, they (inan.) must have heard you (sg.)",0→2s TA Conjunct Dubitative Preterit,they(plur.) must have heard you
999,noontaakowampanen,"it, they (inan.) must have heard you (sg.)",0→2s TA Conjunct Dubitative Preterit,it must have heard you
1000,pakkitte'okowampanen,"it, they (inan.) must have hit you (sg.)",0→2s TA Conjunct Dubitative Preterit,they(plur.) must have hit you
1001,pakkitte'okowampanen,"it, they (inan.) must have hit you (sg.)",0→2s TA Conjunct Dubitative Preterit,it must have hit you
1002,wayaapamikowanen,"it, they (inan.) must be seeing you (sg.)",0→2s TA Conjunct Dubitative,they(plur.) must be seeing you
1003,wayaapamikowanen,"it, they (inan.) must be seeing you (sg.)",0→2s TA Conjunct Dubitative,it must be seeing you
1004,nwaantaakowanen,"it, they (inan.) must be hearing you (sg.)",0→2s TA Conjunct Dubitative,they(plur.) must be hearing you
1005,nwaantaakowanen,"it, they (inan.) must be hearing you (sg.)",0→2s TA Conjunct Dubitative,it must be hearing you
1006,pekkitte'okowanen,"it, they (inan.) must be hitting you (sg.)",0→2s TA Conjunct Dubitative,they(plur.) must be hitting you
1007,pekkitte'okowanen,"it, they (inan.) must be hitting you (sg.)",0→2s TA Conjunct Dubitative,it must be hitting you
1008,wayaapamikowanken,"it, they (inan.) must be seeing us (incl.)",0→21 TA Conjunct Dubitative,they(plur.) must be seeing us
1009,wayaapamikowanken,"it, they (inan.) must be seeing us (incl.)",0→21 TA Conjunct Dubitative,it must be seeing us
1010,nwaantaakowanken,"it, they (inan.) must be hearing us (incl.)",0→21 TA Conjunct Dubitative,they(plur.) must be hearing us
1011,nwaantaakowanken,"it, they (inan.) must be hearing us (incl.)",0→21 TA Conjunct Dubitative,it must be hearing us
1012,pekkitte'okowanken,"it, they (inan.) must be hitting us (incl.)",0→21 TA Conjunct Dubitative,they(plur.) must be hitting us
1013,pekkitte'okowanken,"it, they (inan.) must be hitting us (incl.)",0→21 TA Conjunct Dubitative,it must be hitting us
1014,waapamikowankipanen,"it, they (inan.) must have seen us (incl.)",0→21 TA Conjunct Dubitative Preterit,they(plur.) must have seen us
1015,waapamikowankipanen,"it, they (inan.) must have seen us (incl.)",0→21 TA Conjunct Dubitative Preterit,it must have seen us
1016,noontaakowankipanen,"it, they (inan.) must have heard us (incl.)",0→21 TA Conjunct Dubitative Preterit,they(plur.) must have heard us
1017,noontaakowankipanen,"it, they (inan.) must have heard us (incl.)",0→21 TA Conjunct Dubitative Preterit,it must have heard us
1018,pakkitte'okowankipanen,"it, they (inan.) must have hit us (incl.)",0→21 TA Conjunct Dubitative Preterit,they(plur.) must have hit us
1019,pakkitte'okowankipanen,"it, they (inan.) must have hit us (incl.)",0→21 TA Conjunct Dubitative Preterit,it must have hit us
1020,waapamikowekipanen,"it, they (inan.) must have seen you (pl.)",0→2p TA Conjunct Dubitative Preterit,they(plur.) must have seen you
1021,waapamikowekipanen,"it, they (inan.) must have seen you (pl.)",0→2p TA Conjunct Dubitative Preterit,it must have seen you
1022,noontaakowekipanen,"it, they (inan.) must have heard you (pl.)",0→2p TA Conjunct Dubitative Preterit,they(plur.) must have heard you
1023,noontaakowekipanen,"it, they (inan.) must have heard you (pl.)",0→2p TA Conjunct Dubitative Preterit,it must have heard you
1024,pakkitte'okowekipanen,"it, they (inan.) must have hit you (pl.)",0→2p TA Conjunct Dubitative Preterit,they(plur.) must have hit you
1025,pakkitte'okowekipanen,"it, they (inan.) must have hit you (pl.)",0→2p TA Conjunct Dubitative Preterit,it must have hit you
1026,wayaapamikowekwen,"it, they (inan.) must be seeing you (pl.)",0→2p TA Conjunct Dubitative,they(plur.) must be seeing you
1027,wayaapamikowekwen,"it, they (inan.) must be seeing you (pl.)",0→2p TA Conjunct Dubitative,it must be seeing you
1028,nwaantaakowekwen,"it, they (inan.) must be hearing you (pl.)",0→2p TA Conjunct Dubitative,they(plur.) must be hearing you
1029,nwaantaakowekwen,"it, they (inan.) must be hearing you (pl.)",0→2p TA Conjunct Dubitative,it must be hearing you
1030,pekkitte'okowekwen,"it, they (inan.) must be hitting you (pl.)",0→2p TA Conjunct Dubitative,they(plur.) must be hitting you
1031,pekkitte'okowekwen,"it, they (inan.) must be hitting you (pl.)",0→2p TA Conjunct Dubitative,it must be hitting you
1032,waapamikoyaampaan,"it, they (inan.) saw me",0→1s TA Conjunct Preterit,they(plur.) saw me
1033,waapamikoyaampaan,"it, they (inan.) saw me",0→1s TA Conjunct Preterit,it saw me
1034,noontaakoyaampaan,"it, they (inan.) heard me",0→1s TA Conjunct Preterit,they(plur.) heard me
1035,noontaakoyaampaan,"it, they (inan.) heard me",0→1s TA Conjunct Preterit,it heard me
1036,pakkitte'okoyaampaan,"it, they (inan.) hit me",0→1s TA Conjunct Preterit,they(plur.) hit me
1037,pakkitte'okoyaampaan,"it, they (inan.) hit me",0→1s TA Conjunct Preterit,it hit me
1038,waapamikoyaan,"it, they (inan.) see me",0→1s TA Conjunct Indicative,they(plur.) see me
1039,waapamikoyaan,"it, they (inan.) see me",0→1s TA Conjunct Indicative,it sees me
1040,noontaakoyaan,"it, they (inan.) hear me",0→1s TA Conjunct Indicative,they(plur.) hear me
1041,noontaakoyaan,"it, they (inan.) hear me",0→1s TA Conjunct Indicative,it hears me
1042,pakkitte'okoyaan,"it, they (inan.) hit me",0→1s TA Conjunct Indicative,they(plur.) hit me
1043,pakkitte'okoyaan,"it, they (inan.) hit me",0→1s TA Conjunct Indicative,it hits me
1044,waapamikoyaank,people see us (excl.),X→1p TA Conjunct Indicative,people see us
1045,noontaakoyaank,people hear us (excl.),X→1p TA Conjunct Indicative,people hear us
1046,pakkitte'okoyaank,people hit us (excl.),X→1p TA Conjunct Indicative,people hit us
1047,waapamikoyaank,"it, they (inan.) see us (excl.)",0→1p TA Conjunct Indicative,they(plur.) see us
1048,waapamikoyaank,"it, they (inan.) see us (excl.)",0→1p TA Conjunct Indicative,it sees us
1049,noontaakoyaank,"it, they (inan.) hear us (excl.)",0→1p TA Conjunct Indicative,they(plur.) hear us
1050,noontaakoyaank,"it, they (inan.) hear us (excl.)",0→1p TA Conjunct Indicative,it hears us
1051,pakkitte'okoyaank,"it, they (inan.) hit us (excl.)",0→1p TA Conjunct Indicative,they(plur.) hit us
1052,pakkitte'okoyaank,"it, they (inan.) hit us (excl.)",0→1p TA Conjunct Indicative,it hits us
1053,waapamikoyaankipan,"it, they (inan.) saw us (excl.)",0→1p TA Conjunct Preterit,they(plur.) saw us
1054,waapamikoyaankipan,"it, they (inan.) saw us (excl.)",0→1p TA Conjunct Preterit,it saw us
1055,noontaakoyaankipan,"it, they (inan.) heard us (excl.)",0→1p TA Conjunct Preterit,they(plur.) heard us
1056,noontaakoyaankipan,"it, they (inan.) heard us (excl.)",0→1p TA Conjunct Preterit,it heard us
1057,pakkitte'okoyaankipan,"it, they (inan.) hit us (excl.)",0→1p TA Conjunct Preterit,they(plur.) hit us
1058,pakkitte'okoyaankipan,"it, they (inan.) hit us (excl.)",0→1p TA Conjunct Preterit,it hit us
1059,waapamikoyampan,"it, they (inan.) saw you (sg.)",0→2s TA Conjunct Preterit,they(plur.) saw you
1060,waapamikoyampan,"it, they (inan.) saw you (sg.)",0→2s TA Conjunct Preterit,it saw you
1061,noontaakoyampan,"it, they (inan.) heard you (sg.)",0→2s TA Conjunct Preterit,they(plur.) heard you
1062,noontaakoyampan,"it, they (inan.) heard you (sg.)",0→2s TA Conjunct Preterit,it heard you
1063,pakkitte'okoyampan,"it, they (inan.) hit you (sg.)",0→2s TA Conjunct Preterit,they(plur.) hit you
1064,pakkitte'okoyampan,"it, they (inan.) hit you (sg.)",0→2s TA Conjunct Preterit,it hit you
1065,waapamikoyan,"it, they (inan.) see you (sg.)",0→2s TA Conjunct Indicative,they(plur.) see you
1066,waapamikoyan,"it, they (inan.) see you (sg.)",0→2s TA Conjunct Indicative,it sees you
1067,noontaakoyan,"it, they (inan.) hear you (sg.)",0→2s TA Conjunct Indicative,they(plur.) hear you
1068,noontaakoyan,"it, they (inan.) hear you (sg.)",0→2s TA Conjunct Indicative,it hears you
1069,pakkitte'okoyan,"it, they (inan) hit you (sg.)",0→2s TA Conjunct Indicative,they(plur.) hit you
1070,pakkitte'okoyan,"it, they (inan) hit you (sg.)",0→2s TA Conjunct Indicative,it hits you
1071,waapamikoyank,people see us (incl),X→21 TA Conjunct Indicative,people see us
1072,noontaakoyank,people hear us (incl.),X→21 TA Conjunct Indicative,people hear us
1073,pakkitte'okoyank,people hit us (incl.),X→21 TA Conjunct Indicative,people hit us
1074,waapamikoyank,"it, they (inan.) see us (incl.)",0→21 TA Conjunct Indicative,they(plur.) see us
1075,waapamikoyank,"it, they (inan.) see us (incl.)",0→21 TA Conjunct Indicative,it sees us
1076,noontaakoyank,"it, they (inan.) hear us (incl.)",0→21 TA Conjunct Indicative,they(plur.) hear us
1077,noontaakoyank,"it, they (inan.) hear us (incl.)",0→21 TA Conjunct Indicative,it hears us
1078,pakkitte'okoyank,"it, they (inan.) hit us (incl.)",0→21 TA Conjunct Indicative,they(plur.) hit us
1079,pakkitte'okoyank,"it, they (inan.) hit us (incl.)",0→21 TA Conjunct Indicative,it hits us
1080,waapamikoyankipan,"it, they (inan.) saw us (incl.)",0→21 TA Conjunct Preterit,they(plur.) saw us
1081,waapamikoyankipan,"it, they (inan.) saw us (incl.)",0→21 TA Conjunct Preterit,it saw us
1082,noontaakoyankipan,"it, they (inan.) heard us (incl.)",0→21 TA Conjunct Preterit,they(plur.) heard us
1083,noontaakoyankipan,"it, they (inan.) heard us (incl.)",0→21 TA Conjunct Preterit,it heard us
1084,pakkitte'okoyankipan,"it, they (inan.) hit us (incl.)",0→21 TA Conjunct Preterit,they(plur.) hit us
1085,pakkitte'okoyankipan,"it, they (inan.) hit us (incl.)",0→21 TA Conjunct Preterit,it hit us
1086,waapamikoyek,people see you (pl.),X→2p TA Conjunct Indicative,people see you
1087,noontaakoyek,people hear you (pl.),X→2p TA Conjunct Indicative,people hear you
1088,pakkite'okoyek,people hit you (pl.),X→2p TA Conjunct Indicative,people hit you
1089,waapamikoyek,"it, they (inan.) see you (pl.)",0→2p TA Conjunct Indicative,they(plur.) see you
1090,waapamikoyek,"it, they (inan.) see you (pl.)",0→2p TA Conjunct Indicative,it sees you
1091,noontaakoyek,"it, they (inan.) hear you (pl.)",0→2p TA Conjunct Indicative,they(plur.) hear you
1092,noontaakoyek,"it, they (inan.) hear you (pl.)",0→2p TA Conjunct Indicative,it hears you
1093,pakkitte'okoyek,"it, they (inan.) hit you (pl.)",0→2p TA Conjunct Indicative,they(plur.) hit you
1094,pakkitte'okoyek,"it, they (inan.) hit you (pl.)",0→2p TA Conjunct Indicative,it hits you
1095,waapamikoyekipan,"it, they (inan.) saw you (pl.)",0→2p TA Conjunct Preterit,they(plur.) saw you
1096,waapamikoyekipan,"it, they (inan.) saw you (pl.)",0→2p TA Conjunct Preterit,it saw you
1097,noontaakoyekipan,"it, they (inan.) heard you (pl.)",0→2p TA Conjunct Preterit,they(plur.) heard you
1098,noontaakoyekipan,"it, they (inan.) heard you (pl.)",0→2p TA Conjunct Preterit,it heard you
1099,pakkitte'okoyekipan,"it, they (inan.) hit you (pl.)",0→2p TA Conjunct Preterit,they(plur.) hit you
1100,pakkitte'okoyekipan,"it, they (inan.) hit you (pl.)",0→2p TA Conjunct Preterit,it hit you
1101,wayaapamikwen,s/he must be seeing me,3s→1s TA Conjunct Dubitative,they(sing.) must be seeing me
1102,pekkitte'okwen,s/he must be hitting me,3s→1s TA Conjunct Dubitative,they(sing.) must be hitting me
1103,maašikwen,s/he must be giving it to me,3s→1s TA Conjunct Dubitative,they(sing.) must be giving it to me
1104,mewatiššikwen,s/he must be visiting me,3s→1s TA Conjunct Dubitative,they(sing.) must be visiting me
1105,kwenšikwen,s/he must be swallowing me,3s→1s TA Conjunct Dubitative,they(sing.) must be swallowing me
1106,waapamimaapanen,"people saw him/her, them (obv.)",X→3' TA Independent Preterit,people saw them(sing.)
1107,waapamimaapanen,"people saw him/her, them (obv.)",X→3' TA Independent Preterit,people saw them(plur.)
1108,waapamimaassiipanen,"people did not see him/her, them (obv)",X→3' TA Independent Preterit,people did not see them(sing.)
1109,waapamimaassiipanen,"people did not see him/her, them (obv)",X→3' TA Independent Preterit,people did not see them(plur.)
1110,waapamimaassiitokenan,"people must not be seeing him/her, them (obv.)",X→3' TA Independent Dubitative,people must not be seeing them(sing.)
1111,waapamimaassiitokenan,"people must not be seeing him/her, them (obv.)",X→3' TA Independent Dubitative,people must not be seeing them(plur.)
1112,wayaapamimaassiiwaken,"I must not be seeing him/her, them (obv.)",1s→3' TA Conjunct Dubitative,I must not be seeing them(sing.)
1113,wayaapamimaassiiwaken,"I must not be seeing him/her, them (obv.)",1s→3' TA Conjunct Dubitative,I must not be seeing them(plur.)
1114,waapamimaassiiwakipanen,"I must not have seen him/her, them (obv.)",1s→3' TA Conjunct Dubitative Preterit,I must not have seen them(sing.)
1115,waapamimaassiiwakipanen,"I must not have seen him/her, them (obv.)",1s→3' TA Conjunct Dubitative Preterit,I must not have seen them(plur.)
1116,waapamimaassiiwan,"people do not see him/her, them (obv.)",X→3' TA Independent Indicative,people do not see them(sing.)
1117,waapamimaassiiwan,"people do not see him/her, them (obv.)",X→3' TA Independent Indicative,people do not see them(plur.)
1118,wayaapamimaassiiwanken,"we (incl.) must not be seeing him/her, them (obv.)",21→3' TA Conjunct Dubitative,we must not be seeing them(sing.)
1119,wayaapamimaassiiwanken,"we (incl.) must not be seeing him/her, them (obv.)",21→3' TA Conjunct Dubitative,we must not be seeing them(plur.)
1120,waapamimaassiiwankipanen,"we (excl.) must not have seen him/her, them (obv.)",1p→3' TA Conjunct Dubitative Preterit,we must not have seen them(sing.)
1121,waapamimaassiiwankipanen,"we (excl.) must not have seen him/her, them (obv.)",1p→3' TA Conjunct Dubitative Preterit,we must not have seen them(plur.)
1122,waapamimaassiiwankipanen,"we (incl.) must not have seen him/her, them (obv.)",21→3' TA Conjunct Dubitative Preterit,we must not have seen them(sing.)
1123,waapamimaassiiwankipanen,"we (incl.) must not have seen him/her, them (obv.)",21→3' TA Conjunct Dubitative Preterit,we must not have seen them(plur.)
1124,wayaapamimaassiiwankiten,"we (excl.) must not be seeing him/her, them (obv.)",1p→3' TA Conjunct Dubitative,we must not be seeing them(sing.)
1125,wayaapamimaassiiwankiten,"we (excl.) must not be seeing him/her, them (obv.)",1p→3' TA Conjunct Dubitative,we must not be seeing them(plur.)
1126,wayaapamimaassiiwaten,"you (sg.) must not be seeing him/her, them (obv.)",2s→3' TA Conjunct Dubitative,you must not be seeing them(sing.)
1127,wayaapamimaassiiwaten,"you (sg.) must not be seeing him/her, them (obv.)",2s→3' TA Conjunct Dubitative,you must not be seeing them(plur.)
1128,waapamimaassiiwatipanen,"you (sg.) must not have seen him/her, them (obv.)",2s→3' TA Conjunct Dubitative Preterit,you must not have seen them(sing.)
1129,waapamimaassiiwatipanen,"you (sg.) must not have seen him/her, them (obv.)",2s→3' TA Conjunct Dubitative Preterit,you must not have seen them(plur.)
1130,waapamimaassiiwekipanen,"you (pl.) must not have seen him/her, them (obv.)",2p→3' TA Conjunct Dubitative Preterit,you must not have seen them(sing.)
1131,waapamimaassiiwekipanen,"you (pl.) must not have seen him/her, them (obv.)",2p→3' TA Conjunct Dubitative Preterit,you must not have seen them(plur.)
1132,wayaapamimaassiiwekwen,"you (pl.) must not be seeing him/her, them (obv.)",2p→3' TA Conjunct Dubitative,you must not be seeing them(sing.)
1133,wayaapamimaassiiwekwen,"you (pl.) must not be seeing him/her, them (obv.)",2p→3' TA Conjunct Dubitative,you must not be seeing them(plur.)
1134,wayaapamimaassiiwinten,"people must not be seeing him/her, them (obv.)",X→3' TA Conjunct Dubitative,people must not be seeing them(sing.)
1135,wayaapamimaassiiwinten,"people must not be seeing him/her, them (obv.)",X→3' TA Conjunct Dubitative,people must not be seeing them(plur.)
1136,waapamimaassiiwintipanen,"people must not have seen him/her, them (obv.)",X→3' TA Conjunct Dubitative Preterit,people must not have seen them(sing.)
1137,waapamimaassiiwintipanen,"people must not have seen him/her, them (obv.)",X→3' TA Conjunct Dubitative Preterit,people must not have seen them(plur.)
1138,wayaapamimaassiwaawaken,"I must not be seeing him/her, them (obv.)",1s→3' TA Conjunct Dubitative,I must not be seeing them(sing.)
1139,wayaapamimaassiwaawaken,"I must not be seeing him/her, them (obv.)",1s→3' TA Conjunct Dubitative,I must not be seeing them(plur.)
1140,waapamimaassiwaawakipanen,"I must not have seen him/her, them (obv.)",1s→3' TA Conjunct Dubitative Preterit,I must not have seen them(sing.)
1141,waapamimaassiwaawakipanen,"I must not have seen him/her, them (obv.)",1s→3' TA Conjunct Dubitative Preterit,I must not have seen them(plur.)
1142,wayaapamimaassiwaawanken,"we (incl.) must not be seeing him/her, them (obv.)",21→3' TA Conjunct Dubitative,we must not be seeing them(sing.)
1143,wayaapamimaassiwaawanken,"we (incl.) must not be seeing him/her, them (obv.)",21→3' TA Conjunct Dubitative,we must not be seeing them(plur.)
1144,waapamimaassiwaawankipanen,"we (excl.) must not have seen him/her, them (obv.)",1p→3' TA Conjunct Dubitative Preterit,we must not have seen them(sing.)
1145,waapamimaassiwaawankipanen,"we (excl.) must not have seen him/her, them (obv.)",1p→3' TA Conjunct Dubitative Preterit,we must not have seen them(plur.)
1146,waapamimaassiwaawankipanen,"we (incl.) must not have seen him/her, them (obv.)",21→3' TA Conjunct Dubitative Preterit,we must not have seen them(sing.)
1147,waapamimaassiwaawankipanen,"we (incl.) must not have seen him/her, them (obv.)",21→3' TA Conjunct Dubitative Preterit,we must not have seen them(plur.)
1148,wayaapamimaassiwaawankiten,"we (excl.) must not be seeing him/her, them (obv.)",1p→3' TA Conjunct Dubitative,we must not be seeing them(sing.)
1149,wayaapamimaassiwaawankiten,"we (excl.) must not be seeing him/her, them (obv.)",1p→3' TA Conjunct Dubitative,we must not be seeing them(plur.)
1150,wayaapamimaassiwaawaten,"you (sg.) must not be seeing him/her, them (obv.)",2s→3' TA Conjunct Dubitative,you must not be seeing them(sing.)
1151,wayaapamimaassiwaawaten,"you (sg.) must not be seeing him/her, them (obv.)",2s→3' TA Conjunct Dubitative,you must not be seeing them(plur.)
1152,waapamimaassiwaawatipanen,"you (sg.) must not have seen him/her, them (obv.)",2s→3' TA Conjunct Dubitative Preterit,you must not have seen them(sing.)
1153,waapamimaassiwaawatipanen,"you (sg.) must not have seen him/her, them (obv.)",2s→3' TA Conjunct Dubitative Preterit,you must not have seen them(plur.)
1154,waapamimaassiwaawekipanen,"you (pl.) must not have seen him/her, them (obv.)",2p→3' TA Conjunct Dubitative Preterit,you must not have seen them(sing.)
1155,waapamimaassiwaawekipanen,"you (pl.) must not have seen him/her, them (obv.)",2p→3' TA Conjunct Dubitative Preterit,you must not have seen them(plur.)
1156,wayaapamimaassiwaawekwen,"you (pl.) must not be seeing him/her, them (obv.)",2p→3' TA Conjunct Dubitative,you must not be seeing them(sing.)
1157,wayaapamimaassiwaawekwen,"you (pl.) must not be seeing him/her, them (obv.)",2p→3' TA Conjunct Dubitative,you must not be seeing them(plur.)
1158,wayaapamimaassiwaawinten,"people must not be seeing him/her, them (obv.)",X→3' TA Conjunct Dubitative,people must not be seeing them(sing.)
1159,wayaapamimaassiwaawinten,"people must not be seeing him/her, them (obv.)",X→3' TA Conjunct Dubitative,people must not be seeing them(plur.)
1160,waapamimaassiwaawintipanen,"people must not have seen him/her, them (obv.)",X→3' TA Conjunct Dubitative Preterit,people must not have seen them(sing.)
1161,waapamimaassiwaawintipanen,"people must not have seen him/her, them (obv.)",X→3' TA Conjunct Dubitative Preterit,people must not have seen them(plur.)
1162,waapamimaassiwak,"I do not see him/her, them (obv.)",1s→3' TA Conjunct Indicative,I do not see them(sing.)
1163,waapamimaassiwak,"I do not see him/her, them (obv.)",1s→3' TA Conjunct Indicative,I do not see them(plur.)
1164,waapamimaassiwakipan,"I did not see him/her, them (obv.)",1s→3' TA Conjunct Preterit,I did not see them(sing.)
1165,waapamimaassiwakipan,"I did not see him/her, them (obv.)",1s→3' TA Conjunct Preterit,I did not see them(plur.)
1166,waapamimaassiwank,"we (incl.) do not see him/her, them (obv.)",21→3' TA Conjunct Indicative,we do not see them(sing.)
1167,waapamimaassiwank,"we (incl.) do not see him/her, them (obv.)",21→3' TA Conjunct Indicative,we do not see them(plur.)
1168,waapamimaassiwankipan,"we (incl.) did not see him/her, them (obv.)",21→3' TA Conjunct Preterit,we did not see them(sing.)
1169,waapamimaassiwankipan,"we (incl.) did not see him/her, them (obv.)",21→3' TA Conjunct Preterit,we did not see them(plur.)
1170,waapamimaassiwankit,"we (excl.) do not see him/her, them (obv.)",1p→3' TA Conjunct Indicative,we do not see them(sing.)
1171,waapamimaassiwankit,"we (excl.) do not see him/her, them (obv.)",1p→3' TA Conjunct Indicative,we do not see them(plur.)
1172,waapamimaassiwankitipan,"we (excl.) did not see him/her, them (obv.)",1p→3' TA Conjunct Preterit,we did not see them(sing.)
1173,waapamimaassiwankitipan,"we (excl.) did not see him/her, them (obv.)",1p→3' TA Conjunct Preterit,we did not see them(plur.)
1174,waapamimaassiwat,"you (sg.) do not see him/her, them (obv.)",2s→3' TA Conjunct Indicative,you do not see them(sing.)
1175,waapamimaassiwat,"you (sg.) do not see him/her, them (obv.)",2s→3' TA Conjunct Indicative,you do not see them(plur.)
1176,waapamimaassiwatipan,"you (sg.) did not see him/her, them (obv.)",2s→3' TA Conjunct Preterit,you did not see them(sing.)
1177,waapamimaassiwatipan,"you (sg.) did not see him/her, them (obv.)",2s→3' TA Conjunct Preterit,you did not see them(plur.)
1178,waapamimaassiwek,"you (pl.) do not see him/her, them (obv.)",2p→3' TA Conjunct Indicative,you do not see them(sing.)
1179,waapamimaassiwek,"you (pl.) do not see him/her, them (obv.)",2p→3' TA Conjunct Indicative,you do not see them(plur.)
1180,waapamimaassiwekipan,"you (pl.) did not see him/her, them (obv.)",2p→3' TA Conjunct Preterit,you did not see them(sing.)
1181,waapamimaassiwekipan,"you (pl.) did not see him/her, them (obv.)",2p→3' TA Conjunct Preterit,you did not see them(plur.)
1182,waapamimaassiwint,"people do not see him/her, them (obv.)",X→3' TA Conjunct Indicative,people do not see them(sing.)
1183,waapamimaassiwint,"people do not see him/her, them (obv.)",X→3' TA Conjunct Indicative,people do not see them(plur.)
1184,waapamimaassiwintipan,"people did not see him/her, them (obv.)",X→3' TA Conjunct Preterit,people did not see them(sing.)
1185,waapamimaassiwintipan,"people did not see him/her, them (obv.)",X→3' TA Conjunct Preterit,people did not see them(plur.)
1186,waapamimaatokenan,"people must be seeing him/her, them (obv.)",X→3' TA Independent Dubitative,people must be seeing them(sing.)
1187,waapamimaatokenan,"people must be seeing him/her, them (obv.)",X→3' TA Independent Dubitative,people must be seeing them(plur.)
1188,wayaapamimaawaken,"I must be seeing him/her, them (obv.)",1s→3' TA Conjunct Dubitative,I must be seeing them(sing.)
1189,wayaapamimaawaken,"I must be seeing him/her, them (obv.)",1s→3' TA Conjunct Dubitative,I must be seeing them(plur.)
1190,waapamimaawakipanen,"I must have seen him/her, them (obv.)",1s→3' TA Conjunct Dubitative Preterit,I must have seen them(sing.)
1191,waapamimaawakipanen,"I must have seen him/her, them (obv.)",1s→3' TA Conjunct Dubitative Preterit,I must have seen them(plur.)
1192,waapamimaawan,"people see him/her, them (obv.)",X→3' TA Independent Indicative,people see them(sing.)
1193,waapamimaawan,"people see him/her, them (obv.)",X→3' TA Independent Indicative,people see them(plur.)
1194,wayaapamimaawanken,"we (incl.) must be seeing him/her, them (obv.)",21→3' TA Conjunct Dubitative,we must be seeing them(sing.)
1195,wayaapamimaawanken,"we (incl.) must be seeing him/her, them (obv.)",21→3' TA Conjunct Dubitative,we must be seeing them(plur.)
1196,waapamimaawankipanen,"we (incl.) must have seen him/her, them (obv.)",21→3' TA Conjunct Dubitative Preterit,we must have seen them(sing.)
1197,waapamimaawankipanen,"we (incl.) must have seen him/her, them (obv.)",21→3' TA Conjunct Dubitative Preterit,we must have seen them(plur.)
1198,wayaapamimaawankiten,"we (excl.) must be seeing him/her, them (obv.)",1p→3' TA Conjunct Dubitative,we must be seeing them(sing.)
1199,wayaapamimaawankiten,"we (excl.) must be seeing him/her, them (obv.)",1p→3' TA Conjunct Dubitative,we must be seeing them(plur.)
1200,waapamimaawankitipanen,"we (excl.) must have seen him/her, them (obv.)",1p→3' TA Conjunct Dubitative Preterit,we must have seen them(sing.)
1201,waapamimaawankitipanen,"we (excl.) must have seen him/her, them (obv.)",1p→3' TA Conjunct Dubitative Preterit,we must have seen them(plur.)
