Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
pakkitte'okoossiwaampaan,people did not hit me,X→1s TA Conjunct Preterit,people did not hit me
waapamikoossiwaan,people do not see me,X→1s TA Conjunct Indicative,people do not see me
noontaakoossiwaan,people do not hear me,X→1s TA Conjunct Indicative,people do not hear me
pakkitte'okoossiwaan,people do not hit me,X→1s TA Conjunct Indicative,people do not hit me
waapamikoossiwaank,people do not see us (excl.),X→1p TA Conjunct Indicative,people do not see us
noontaakoossiwaank,people do not hear us (excl.),X→1p TA Conjunct Indicative,people do not hear us
pakkitte'okoossiwaank,people do not hit us (excl.),X→1p TA Conjunct Indicative,people do not hit us
waapamikoossiwaankipan,people did not see us (excl.),X→1p TA Conjunct Preterit,people did not see us
noontaakoossiwaankipan,people did not hear us (excl.),X→1p TA Conjunct Preterit,people did not hear us
pakkitte'okoossiwaankipan,people did not hit us (excl.),X→1p TA Conjunct Preterit,people did not hit us
waapamikoossiwampan,people did not see you (sg.),X→2s TA Conjunct Preterit,people did not see you
noontaakoossiwampan,people did not hear you (sg.),X→2s TA Conjunct Preterit,people did not hear you
pakkitte'okoossiwampan,people did not hit you (sg.),X→2s TA Conjunct Preterit,people did not hit you
waapamikoossiwan,people do not see you (sg.),X→2s TA Conjunct Indicative,people do not see you
noontaakoossiwan,people do not hear you (sg.),X→2s TA Conjunct Indicative,people do not hear you
pakkitte'okoossiwan,people do not hit you (sg.),X→2s TA Conjunct Indicative,people do not hit you
waapamikoossiwankipan,people did not see us (incl.),X→21 TA Conjunct Preterit,people did not see us
noontaakoossiwankipan,people did not hear us (incl.),X→21 TA Conjunct Preterit,people did not hear us
pakkitte'okoossiwankipan,people did not hit us (incl.),X→21 TA Conjunct Preterit,people did not hit us
waapamikoossiwekipan,people did not see you (pl.),X→2p TA Conjunct Preterit,people did not see you
noontaakoossiwekipan,people did not hear you (pl.),X→2p TA Conjunct Preterit,people did not hear you
pakkitte'okoossiwekipan,people did not hit you (pl.),X→2p TA Conjunct Preterit,people did not hit you
waapamikoowaampaanen,people must have seen me,X→1s TA Conjunct Dubitative Preterit,people must have seen me
noontaakoowaampaanen,people must have heard me,X→1s TA Conjunct Dubitative Preterit,people must have heard me
pakkitte'okoowaampaanen,people must have hit me,X→1s TA Conjunct Dubitative Preterit,people must have hit me
wayaapamikoowaanen,people must be seeing me,X→1s TA Conjunct Dubitative,people must be seeing me
nwaantaakoowaanen,people must be hearing me,X→1s TA Conjunct Dubitative,people must be hearing me
pekkitte'okoowaanen,people must be hitting me,X→1s TA Conjunct Dubitative,people must be hitting me
wayaapamikoowaanken,people must be seeing us (excl.),X→1p TA Conjunct Dubitative,people must be seeing us
nwaantaakoowaanken,people must be hearing us (excl.),X→1p TA Conjunct Dubitative,people must be hearing us
pekkitte'okoowaanken,people must be hitting us (excl.),X→1p TA Conjunct Dubitative,people must be hitting us
waapamikoowaankipanen,people must have seen us (excl.),X→1p TA Conjunct Dubitative Preterit,people must have seen us
noontaakoowaankipanen,people must have heard us (excl.),X→1p TA Conjunct Dubitative Preterit,people must have heard us
pakkitte'okoowaankipanen,people must have hit us (excl.),X→1p TA Conjunct Dubitative Preterit,people must have hit us
waapamikoowampanen,people must have seen you (sg.),X→2s TA Conjunct Dubitative Preterit,people must have seen you
noontaakoowampanen,people must have heard you (sg.),X→2s TA Conjunct Dubitative Preterit,people must have heard you
pakkitte'okoowampanen,people must have hit you (sg.),X→2s TA Conjunct Dubitative Preterit,people must have hit you
wayaapamikoowanen,people must be seeing you (sg.),X→2s TA Conjunct Dubitative,people must be seeing you
nwaantaakoowanen,people must be hearing you (sg.),X→2s TA Conjunct Dubitative,people must be hearing you
pekkitte'okoowanen,people must be hitting you (sg.),X→2s TA Conjunct Dubitative,people must be hitting you
wayaapamikoowanken,people must be seeing us (incl.),X→21 TA Conjunct Dubitative,people must be seeing us
nwaantaakoowanken,people must be hearing us (incl.),X→21 TA Conjunct Dubitative,people must be hearing us
pekkitte'okoowanken,people must be hitting us (incl.),X→21 TA Conjunct Dubitative,people must be hitting us
waapamikoowankipanen,people must have seen us (incl.),X→21 TA Conjunct Dubitative Preterit,people must have seen us
noontaakoowankipanen,people must have heard us (incl.),X→21 TA Conjunct Dubitative Preterit,people must have heard us
pakkitte'okoowankipanen,people must have hit us (incl.),X→21 TA Conjunct Dubitative Preterit,people must have hit us
waapamikoowekipanen,people must have seen you (pl.),X→2p TA Conjunct Dubitative Preterit,people must have seen you
noontaakoowekipanen,people must have heard you (pl.),X→2p TA Conjunct Dubitative Preterit,people must have heard you
pakkitte'okoowekipanen,people must have hit you (pl.),X→2p TA Conjunct Dubitative Preterit,people must have hit you
wayaapamikoowekwen,people must be seeing you (pl.),X→2p TA Conjunct Dubitative,people must be seeing you
nwaantaakoowekwen,people must be hearing you (pl.),X→2p TA Conjunct Dubitative,people must be hearing you
pekkitte'okoowekwen,people must be hitting you (pl.),X→2p TA Conjunct Dubitative,people must be hitting you
waapamikooyaampaan,people saw me,X→1s TA Conjunct Preterit,people saw me
noontaakooyaampaan,people heard me,X→1s TA Conjunct Preterit,people heard me
pakkitte'okooyaampaan,people hit me,X→1s TA Conjunct Preterit,people hit me
waapamikooyaan,people see me,X→1s TA Conjunct Indicative,people see me
noontaakooyaan,people hear me,X→1s TA Conjunct Indicative,people hear me
pakkitte'okooyaan,people hit me,X→1s TA Conjunct Indicative,people hit me
waapamikooyaankipan,people saw us (excl.),X→1p TA Conjunct Preterit,people saw us
noontaakooyaankipan,people heard us (excl.),X→1p TA Conjunct Preterit,people heard us
pakkitte'okooyaankipan,people hit us (excl.),X→1p TA Conjunct Preterit,people hit us
waapamikooyampan,people saw you (sg.),X→2s TA Conjunct Preterit,people saw you
noontaakooyampan,people heard you (sg.),X→2s TA Conjunct Preterit,people heard you
pakkitte'okooyampan,people hit you (sg.),X→2s TA Conjunct Preterit,people hit you
waapamikooyan,people see you (sg.),X→2s TA Conjunct Indicative,people see you
noontaakooyan,people hear you (sg.),X→2s TA Conjunct Indicative,people hear you
pakkitte'okooyan,people hit you (sg.),X→2s TA Conjunct Indicative,people hit you
waapamikooyankipan,people saw us (incl.),X→21 TA Conjunct Preterit,people saw us
noontaakooyankipan,people heard us (incl.),X→21 TA Conjunct Preterit,people heard us
pakkitte'okooyankipan,people hit us (incl.),X→21 TA Conjunct Preterit,people hit us
waapamikooyekipan,people saw you (pl.),X→2p TA Conjunct Preterit,people saw you
noontaakooyekipan,people heard you (pl.),X→2p TA Conjunct Preterit,people heard you
pakkitte'okooyekipan,people hit you (pl.),X→2p TA Conjunct Preterit,people hit you
waapamikopanen,s/he must have seen me,3s→1s TA Conjunct Dubitative Preterit,they(sing.) must have seen me
pakkitte'okopanen,s/he must have hit me,3s→1s TA Conjunct Dubitative Preterit,they(sing.) must have hit me
miišikopanen,s/he must have given it to me,3s→1s TA Conjunct Dubitative Preterit,they(sing.) must have given it to me
mawatiššikopanen,s/he must have visited me,3s→1s TA Conjunct Dubitative Preterit,they(sing.) must have visited me
konšikopanen,s/he must have swallowed me,3s→1s TA Conjunct Dubitative Preterit,they(sing.) must have swallowed me
waapamikoppan,"s/he, they (obv.) saw him/her",3'→3s TA Conjunct Preterit,they(plur.) saw him/her
waapamikoppan,"s/he, they (obv.) saw him/her",3'→3s TA Conjunct Preterit,they(sing.) saw him/her
noontaakoppan,"s/he, they (obv.) heard him/her",3'→3s TA Conjunct Preterit,they(plur.) heard him/her
noontaakoppan,"s/he, they (obv.) heard him/her",3'→3s TA Conjunct Preterit,they(sing.) heard him/her
pakkitte'okoppan,"s/he, they (obv.) hit him/her",3'→3s TA Conjunct Preterit,they(plur.) hit him/her
pakkitte'okoppan,"s/he, they (obv.) hit him/her",3'→3s TA Conjunct Preterit,they(sing.) hit him/her
waapamikoppan,"it, they (inan.) saw him/her",0→3s TA Conjunct Preterit,"it, they(plur.) saw him/her"
waapamikoppan,"it, they (inan.) saw him/her",0→3s TA Conjunct Preterit,"it,  saw him/her"
noontaakoppan,"it, they (inan.) heard him/her",0→3s TA Conjunct Preterit,"it, they(plur.) heard him/her"
noontaakoppan,"it, they (inan.) heard him/her",0→3s TA Conjunct Preterit,"it,  heard him/her"
pakkitte'okoppan,"it, they (inan.) hit him/her",0→3s TA Conjunct Preterit,"it, they(plur.) hit him/her"
pakkitte'okoppan,"it, they (inan.) hit him/her",0→3s TA Conjunct Preterit,"it,  hit him/her"
waapamikossiikopanen,"s/he, they (obv.) must not have seen him/her",3'→3s TA Conjunct Dubitative Preterit,they(plur.) must not have seen him/her
waapamikossiikopanen,"s/he, they (obv.) must not have seen him/her",3'→3s TA Conjunct Dubitative Preterit,they(sing.) must not have seen him/her
noontaakossiikopanen,"s/he, they (obv.) must not have heard him/her",3'→3s TA Conjunct Dubitative Preterit,they(plur.) must not have heard him/her
noontaakossiikopanen,"s/he, they (obv.) must not have heard him/her",3'→3s TA Conjunct Dubitative Preterit,they(sing.) must not have heard him/her
pakkitte'okossiikopanen,"s/he, they (obv.) must not have hit him/her",3'→3s TA Conjunct Dubitative Preterit,they(plur.) must not have hit him/her
pakkitte'okossiikopanen,"s/he, they (obv.) must not have hit him/her",3'→3s TA Conjunct Dubitative Preterit,they(sing.) must not have hit him/her
waapamikossiikopanen,"it, they (inan.) must not have seen him/her",0→3s TA Conjunct Dubitative Preterit,"it, they(plur.) must not have seen him/her"
waapamikossiikopanen,"it, they (inan.) must not have seen him/her",0→3s TA Conjunct Dubitative Preterit,"it,  must not have seen him/her"
noontaakossiikopanen,"it, they (inan.) must not have heard him/her",0→3s TA Conjunct Dubitative Preterit,"it, they(plur.) must not have heard him/her"
noontaakossiikopanen,"it, they (inan.) must not have heard him/her",0→3s TA Conjunct Dubitative Preterit,"it,  must not have heard him/her"
pakkitte'okossiikopanen,"it, they (inan.) must not have hit him/her",0→3s TA Conjunct Dubitative Preterit,"it, they(plur.) must not have hit him/her"
pakkitte'okossiikopanen,"it, they (inan.) must not have hit him/her",0→3s TA Conjunct Dubitative Preterit,"it,  must not have hit him/her"
wayaapamikossiikwen,"s/he, they (obv.) must not be seeing him/her",3'→3s TA Conjunct Dubitative,they(plur.) must not be seeing him/her
wayaapamikossiikwen,"s/he, they (obv.) must not be seeing him/her",3'→3s TA Conjunct Dubitative,they(sing.) must not be seeing him/her
nwaantaakossiikwen,"s/he, they (obv.) must not be hearing him/her",3'→3s TA Conjunct Dubitative,they(plur.) must not be hearing him/her
nwaantaakossiikwen,"s/he, they (obv.) must not be hearing him/her",3'→3s TA Conjunct Dubitative,they(sing.) must not be hearing him/her
pekkitte'okossiikwen,"s/he, they (obv.) must not be hitting him/her",3'→3s TA Conjunct Dubitative,they(plur.) must not be hitting him/her
pekkitte'okossiikwen,"s/he, they (obv.) must not be hitting him/her",3'→3s TA Conjunct Dubitative,they(sing.) must not be hitting him/her
wayaapamikossiikwen,"it, they (inan.) must not be seeing him/her",0→3s TA Conjunct Dubitative,"it, they(plur.) must not be seeing him/her"
wayaapamikossiikwen,"it, they (inan.) must not be seeing him/her",0→3s TA Conjunct Dubitative,"it,  must not be seeing him/her"
nwaantaakossiikwen,"it, they (inan.) must not be hearing him/her",0→3s TA Conjunct Dubitative,"it, they(plur.) must not be hearing him/her"
nwaantaakossiikwen,"it, they (inan.) must not be hearing him/her",0→3s TA Conjunct Dubitative,"it,  must not be hearing him/her"
pekkitte'okossiikwen,"it, they (inan.) must not be hitting him/her",0→3s TA Conjunct Dubitative,"it, they(plur.) must not be hitting him/her"
pekkitte'okossiikwen,"it, they (inan.) must not be hitting him/her",0→3s TA Conjunct Dubitative,"it,  must not be hitting him/her"
waapamikossiinikopanen,"it, they (inan.) must not have seen him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,"it, they(plur.) must not have seen him/her, them (obv.)"
waapamikossiinikopanen,"it, they (inan.) must not have seen him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,"it,  must not have seen him/her, them (obv.)"
noontaakossiinikopanen,"it, they (inan.) must not have heard him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,"it, they(plur.) must not have heard him/her, them (obv.)"
noontaakossiinikopanen,"it, they (inan.) must not have heard him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,"it,  must not have heard him/her, them (obv.)"
pakkitte'okossiinikopanen,"it, they (inan.) must not have hit him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,"it, they(plur.) must not have hit him/her, them (obv.)"
pakkitte'okossiinikopanen,"it, they (inan.) must not have hit him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,"it,  must not have hit him/her, them (obv.)"
wayaapamikossiinikwen,"it, they (inan.) must not be seeing him/her, them (obv.)",0→3' TA Conjunct Dubitative,"it, they(plur.) must not be seeing him/her, them (obv.)"
wayaapamikossiinikwen,"it, they (inan.) must not be seeing him/her, them (obv.)",0→3' TA Conjunct Dubitative,"it,  must not be seeing him/her, them (obv.)"
nwaantaakossiinikwen,"it, they (inan.) must not be hearing him/her, them (obv.)",0→3' TA Conjunct Dubitative,"it, they(plur.) must not be hearing him/her, them (obv.)"
nwaantaakossiinikwen,"it, they (inan.) must not be hearing him/her, them (obv.)",0→3' TA Conjunct Dubitative,"it,  must not be hearing him/her, them (obv.)"
pekkitte'okossiinikwen,"it, they (inan.) must not be hitting him/her, them (obv.)",0→3' TA Conjunct Dubitative,"it, they(plur.) must not be hitting him/her, them (obv.)"
pekkitte'okossiinikwen,"it, they (inan.) must not be hitting him/her, them (obv.)",0→3' TA Conjunct Dubitative,"it,  must not be hitting him/her, them (obv.)"
waapamikossiiwaakopanen,"s/he, they (obv.) must not have seen them (anim.)",3'→3p TA Conjunct Dubitative Preterit,they(plur.) must not have seen them (anim.)
waapamikossiiwaakopanen,"s/he, they (obv.) must not have seen them (anim.)",3'→3p TA Conjunct Dubitative Preterit,they(sing.) must not have seen them (anim.)
noontaakossiiwaakopanen,"s/he, they (obv.) must not have heard them (anim.)",3'→3p TA Conjunct Dubitative Preterit,they(plur.) must not have heard them (anim.)
noontaakossiiwaakopanen,"s/he, they (obv.) must not have heard them (anim.)",3'→3p TA Conjunct Dubitative Preterit,they(sing.) must not have heard them (anim.)
pakkitte'okossiiwaakopanen,"s/he, they (obv.) must not have hit them (anim.)",3'→3p TA Conjunct Dubitative Preterit,they(plur.) must not have hit them (anim.)
pakkitte'okossiiwaakopanen,"s/he, they (obv.) must not have hit them (anim.)",3'→3p TA Conjunct Dubitative Preterit,they(sing.) must not have hit them (anim.)
waapamikossiiwaakopanen,"it, they (inan.) must not have seen them (anim.)",0→3p TA Conjunct Dubitative Preterit,"it, they(plur.) must not have seen them (anim.)"
waapamikossiiwaakopanen,"it, they (inan.) must not have seen them (anim.)",0→3p TA Conjunct Dubitative Preterit,"it,  must not have seen them (anim.)"
noontaakossiiwaakopanen,"it, they (inan.) must not have heard them (anim.)",0→3p TA Conjunct Dubitative Preterit,"it, they(plur.) must not have heard them (anim.)"
noontaakossiiwaakopanen,"it, they (inan.) must not have heard them (anim.)",0→3p TA Conjunct Dubitative Preterit,"it,  must not have heard them (anim.)"
pakkitte'okossiiwaakopanen,"it, they (inan.) must not have hit them (anim.)",0→3p TA Conjunct Dubitative Preterit,"it, they(plur.) must not have hit them (anim.)"
pakkitte'okossiiwaakopanen,"it, they (inan.) must not have hit them (anim.)",0→3p TA Conjunct Dubitative Preterit,"it,  must not have hit them (anim.)"
wayaapamikossiiwaakwen,"s/he, they (obv.) must not be seeing them (anim.)",3'→3p TA Conjunct Dubitative,they(plur.) must not be seeing them (anim.)
wayaapamikossiiwaakwen,"s/he, they (obv.) must not be seeing them (anim.)",3'→3p TA Conjunct Dubitative,they(sing.) must not be seeing them (anim.)
nwaantaakossiiwaakwen,"s/he, they (obv.) must not be hearing them (anim.)",3'→3p TA Conjunct Dubitative,they(plur.) must not be hearing them (anim.)
nwaantaakossiiwaakwen,"s/he, they (obv.) must not be hearing them (anim.)",3'→3p TA Conjunct Dubitative,they(sing.) must not be hearing them (anim.)
pekkitte'okossiiwaakwen,"s/he, they (obv.) must not be hitting them (anim.)",3'→3p TA Conjunct Dubitative,they(plur.) must not be hitting them (anim.)
pekkitte'okossiiwaakwen,"s/he, they (obv.) must not be hitting them (anim.)",3'→3p TA Conjunct Dubitative,they(sing.) must not be hitting them (anim.)
wayaapamikossiiwaakwen,"it, they (inan.) must not be seeing them (anim.)",0→3p TA Conjunct Dubitative,"it, they(plur.) must not be seeing them (anim.)"
wayaapamikossiiwaakwen,"it, they (inan.) must not be seeing them (anim.)",0→3p TA Conjunct Dubitative,"it,  must not be seeing them (anim.)"
nwaantaakossiiwaakwen,"it, they (inan.) must not be hearing them (anim.)",0→3p TA Conjunct Dubitative,"it, they(plur.) must not be hearing them (anim.)"
nwaantaakossiiwaakwen,"it, they (inan.) must not be hearing them (anim.)",0→3p TA Conjunct Dubitative,"it,  must not be hearing them (anim.)"
pekkitte'okossiiwaakwen,"it, they (inan.) must not be hitting them (anim.)",0→3p TA Conjunct Dubitative,"it, they(plur.) must not be hitting them (anim.)"
pekkitte'okossiiwaakwen,"it, they (inan.) must not be hitting them (anim.)",0→3p TA Conjunct Dubitative,"it,  must not be hitting them (anim.)"
waapamikossiiwaampaanen,"it, they (inan.) must not have seen me",0→1s TA Conjunct Dubitative Preterit,"it, they(plur.) must not have seen me"
waapamikossiiwaampaanen,"it, they (inan.) must not have seen me",0→1s TA Conjunct Dubitative Preterit,"it,  must not have seen me"
noontaakossiiwaampaanen,"it, they (inan.) must not have heard me",0→1s TA Conjunct Dubitative Preterit,"it, they(plur.) must not have heard me"
noontaakossiiwaampaanen,"it, they (inan.) must not have heard me",0→1s TA Conjunct Dubitative Preterit,"it,  must not have heard me"
pakkitte'okossiiwaampaanen,"it, they (inan.) must not have hit me",0→1s TA Conjunct Dubitative Preterit,"it, they(plur.) must not have hit me"
pakkitte'okossiiwaampaanen,"it, they (inan.) must not have hit me",0→1s TA Conjunct Dubitative Preterit,"it,  must not have hit me"
wayaapamikossiiwaanen,"it, they (inan.) must not be seeing me",0→1s TA Conjunct Dubitative,"it, they(plur.) must not be seeing me"
wayaapamikossiiwaanen,"it, they (inan.) must not be seeing me",0→1s TA Conjunct Dubitative,"it,  must not be seeing me"
nwaantaakossiiwaanen,"it, they (inan.) must not be hearing me",0→1s TA Conjunct Dubitative,"it, they(plur.) must not be hearing me"
nwaantaakossiiwaanen,"it, they (inan.) must not be hearing me",0→1s TA Conjunct Dubitative,"it,  must not be hearing me"
pekkitte'okossiiwaanen,"it, they (inan.) must not be hitting me",0→1s TA Conjunct Dubitative,"it, they(plur.) must not be hitting me"
pekkitte'okossiiwaanen,"it, they (inan.) must not be hitting me",0→1s TA Conjunct Dubitative,"it,  must not be hitting me"
wayaapamikossiiwaanken,"it, they (inan.) must not be seeing us (excl.)",0→1p TA Conjunct Dubitative,"it, they(plur.) must not be seeing us (excl.)"
wayaapamikossiiwaanken,"it, they (inan.) must not be seeing us (excl.)",0→1p TA Conjunct Dubitative,"it,  must not be seeing us (excl.)"
nwaantaakossiiwaanken,"it, they (inan.) must not be hearing us (excl.)",0→1p TA Conjunct Dubitative,"it, they(plur.) must not be hearing us (excl.)"
nwaantaakossiiwaanken,"it, they (inan.) must not be hearing us (excl.)",0→1p TA Conjunct Dubitative,"it,  must not be hearing us (excl.)"
pekkitte'okossiiwaanken,"it, they (inan.) must not be hitting us (excl.)",0→1p TA Conjunct Dubitative,"it, they(plur.) must not be hitting us (excl.)"
pekkitte'okossiiwaanken,"it, they (inan.) must not be hitting us (excl.)",0→1p TA Conjunct Dubitative,"it,  must not be hitting us (excl.)"
waapamikossiiwaankipanen,"it, they (inan.) must not have seen us (excl.)",0→1p TA Conjunct Dubitative Preterit,"it, they(plur.) must not have seen us (excl.)"
waapamikossiiwaankipanen,"it, they (inan.) must not have seen us (excl.)",0→1p TA Conjunct Dubitative Preterit,"it,  must not have seen us (excl.)"
noontaakossiiwaankipanen,"it, they (inan.) must not have heard us (excl.)",0→1p TA Conjunct Dubitative Preterit,"it, they(plur.) must not have heard us (excl.)"
noontaakossiiwaankipanen,"it, they (inan.) must not have heard us (excl.)",0→1p TA Conjunct Dubitative Preterit,"it,  must not have heard us (excl.)"
pakkitte'okossiiwaankipanen,"it, they (inan.) must not have hit us (excl.)",0→1p TA Conjunct Dubitative Preterit,"it, they(plur.) must not have hit us (excl.)"
pakkitte'okossiiwaankipanen,"it, they (inan.) must not have hit us (excl.)",0→1p TA Conjunct Dubitative Preterit,"it,  must not have hit us (excl.)"
waapamikossiiwampanen,"it, they (inan.) must not have seen you (sg.)",0→2s TA Conjunct Dubitative Preterit,"it, they(plur.) must not have seen you (sg.)"
waapamikossiiwampanen,"it, they (inan.) must not have seen you (sg.)",0→2s TA Conjunct Dubitative Preterit,"it,  must not have seen you (sg.)"
noontaakossiiwampanen,"it, they (inan.) must not have heard you (sg.)",0→2s TA Conjunct Dubitative Preterit,"it, they(plur.) must not have heard you (sg.)"
noontaakossiiwampanen,"it, they (inan.) must not have heard you (sg.)",0→2s TA Conjunct Dubitative Preterit,"it,  must not have heard you (sg.)"
pakkitte'okossiiwampanen,"it, they (inan.) must not have hit you (sg.)",0→2s TA Conjunct Dubitative Preterit,"it, they(plur.) must not have hit you (sg.)"
pakkitte'okossiiwampanen,"it, they (inan.) must not have hit you (sg.)",0→2s TA Conjunct Dubitative Preterit,"it,  must not have hit you (sg.)"
wayaapamikossiiwanen,"it, they (inan.) must not be seeing you (sg.)",0→2s TA Conjunct Dubitative,"it, they(plur.) must not be seeing you (sg.)"
wayaapamikossiiwanen,"it, they (inan.) must not be seeing you (sg.)",0→2s TA Conjunct Dubitative,"it,  must not be seeing you (sg.)"
nwaantaakossiiwanen,"it, they (inan.) must not be hearing you (sg.)",0→2s TA Conjunct Dubitative,"it, they(plur.) must not be hearing you (sg.)"
nwaantaakossiiwanen,"it, they (inan.) must not be hearing you (sg.)",0→2s TA Conjunct Dubitative,"it,  must not be hearing you (sg.)"
pekkitte'okossiiwanen,"it, they (inan.) must not be hitting you (sg.)",0→2s TA Conjunct Dubitative,"it, they(plur.) must not be hitting you (sg.)"
pekkitte'okossiiwanen,"it, they (inan.) must not be hitting you (sg.)",0→2s TA Conjunct Dubitative,"it,  must not be hitting you (sg.)"
wayaapamikossiiwanken,"it, they (inan.) must not be seeing us (incl.)",0→21 TA Conjunct Dubitative,"it, they(plur.) must not be seeing us (incl.)"
wayaapamikossiiwanken,"it, they (inan.) must not be seeing us (incl.)",0→21 TA Conjunct Dubitative,"it,  must not be seeing us (incl.)"
nwaantaakossiiwanken,"it, they (inan.) must not be hearing us (incl.)",0→21 TA Conjunct Dubitative,"it, they(plur.) must not be hearing us (incl.)"
nwaantaakossiiwanken,"it, they (inan.) must not be hearing us (incl.)",0→21 TA Conjunct Dubitative,"it,  must not be hearing us (incl.)"
pekkitte'okossiiwanken,"it, they (inan.) must not be hitting us (incl.)",0→21 TA Conjunct Dubitative,"it, they(plur.) must not be hitting us (incl.)"
pekkitte'okossiiwanken,"it, they (inan.) must not be hitting us (incl.)",0→21 TA Conjunct Dubitative,"it,  must not be hitting us (incl.)"
waapamikossiiwankipanen,"it, they (inan.) must not have seen us (incl.)",0→21 TA Conjunct Dubitative Preterit,"it, they(plur.) must not have seen us (incl.)"
waapamikossiiwankipanen,"it, they (inan.) must not have seen us (incl.)",0→21 TA Conjunct Dubitative Preterit,"it,  must not have seen us (incl.)"
noontaakossiiwankipanen,"it, they (inan.) must not have heard us (incl.)",0→21 TA Conjunct Dubitative Preterit,"it, they(plur.) must not have heard us (incl.)"
noontaakossiiwankipanen,"it, they (inan.) must not have heard us (incl.)",0→21 TA Conjunct Dubitative Preterit,"it,  must not have heard us (incl.)"
pakkitte'okossiiwankipanen,"it, they (inan.) must not have hit us (incl.)",0→21 TA Conjunct Dubitative Preterit,"it, they(plur.) must not have hit us (incl.)"
pakkitte'okossiiwankipanen,"it, they (inan.) must not have hit us (incl.)",0→21 TA Conjunct Dubitative Preterit,"it,  must not have hit us (incl.)"
waapamikossiiwekipanen,"it, they (inan.) must not have seen you (pl.)",0→2p TA Conjunct Dubitative Preterit,"it, they(plur.) must not have seen you (pl.)"
waapamikossiiwekipanen,"it, they (inan.) must not have seen you (pl.)",0→2p TA Conjunct Dubitative Preterit,"it,  must not have seen you (pl.)"
noontaakossiiwekipanen,"it, they (inan.) must not have heard you (pl.)",0→2p TA Conjunct Dubitative Preterit,"it, they(plur.) must not have heard you (pl.)"
noontaakossiiwekipanen,"it, they (inan.) must not have heard you (pl.)",0→2p TA Conjunct Dubitative Preterit,"it,  must not have heard you (pl.)"
pakkitte'okossiiwekipanen,"it, they (inan.) must not have hit you (pl.)",0→2p TA Conjunct Dubitative Preterit,"it, they(plur.) must not have hit you (pl.)"
pakkitte'okossiiwekipanen,"it, they (inan.) must not have hit you (pl.)",0→2p TA Conjunct Dubitative Preterit,"it,  must not have hit you (pl.)"
wayaapamikossiiwekwen,"it, they (inan.) must not be seeing you (pl.)",0→2p TA Conjunct Dubitative,"it, they(plur.) must not be seeing you (pl.)"
wayaapamikossiiwekwen,"it, they (inan.) must not be seeing you (pl.)",0→2p TA Conjunct Dubitative,"it,  must not be seeing you (pl.)"
nwaantaakossiiwekwen,"it, they (inan.) must not be hearing you (pl.)",0→2p TA Conjunct Dubitative,"it, they(plur.) must not be hearing you (pl.)"
nwaantaakossiiwekwen,"it, they (inan.) must not be hearing you (pl.)",0→2p TA Conjunct Dubitative,"it,  must not be hearing you (pl.)"
pekkitte'okossiiwekwen,"it, they (inan.) must not be hitting you (pl.)",0→2p TA Conjunct Dubitative,"it, they(plur.) must not be hitting you (pl.)"
pekkitte'okossiiwekwen,"it, they (inan.) must not be hitting you (pl.)",0→2p TA Conjunct Dubitative,"it,  must not be hitting you (pl.)"
waapamikossik,"s/he, they (obv.) do not see him/her",3'→3s TA Conjunct Indicative,they(plur.) do not see him/her
waapamikossik,"s/he, they (obv.) do not see him/her",3'→3s TA Conjunct Indicative,they(sing.) do not see him/her
noontaakossik,"s/he, they (obv.) do not hear him/her",3'→3s TA Conjunct Indicative,they(plur.) do not hear him/her
noontaakossik,"s/he, they (obv.) do not hear him/her",3'→3s TA Conjunct Indicative,they(sing.) do not hear him/her
pakkitte'okossik,"s/he, they (obv.) do not hit him/her",3'→3s TA Conjunct Indicative,they(plur.) do not hit him/her
pakkitte'okossik,"s/he, they (obv.) do not hit him/her",3'→3s TA Conjunct Indicative,they(sing.) do not hit him/her
waapamikossik,"it, they (inan.) do not see him/her",0→3s TA Conjunct Indicative,"it, they(plur.) do not see him/her"
waapamikossik,"it, they (inan.) do not see him/her",0→3s TA Conjunct Indicative,"it,  do not see him/her"
noontaakossik,"it, they (inan.) do not hear him/her",0→3s TA Conjunct Indicative,"it, they(plur.) do not hear him/her"
noontaakossik,"it, they (inan.) do not hear him/her",0→3s TA Conjunct Indicative,"it,  do not hear him/her"
pakkitte'okossik,"it, they (inan.) do not hit him/her",0→3s TA Conjunct Indicative,"it, they(plur.) do not hit him/her"
pakkitte'okossik,"it, they (inan.) do not hit him/her",0→3s TA Conjunct Indicative,"it,  do not hit him/her"
waapamikossikopan,"s/he, they (obv.) did not see him/her",3'→3s TA Conjunct Preterit,they(plur.) did not see him/her
waapamikossikopan,"s/he, they (obv.) did not see him/her",3'→3s TA Conjunct Preterit,they(sing.) did not see him/her
noontaakossikopan,"s/he, they (obv.) did not hear him/her",3'→3s TA Conjunct Preterit,they(plur.) did not hear him/her
noontaakossikopan,"s/he, they (obv.) did not hear him/her",3'→3s TA Conjunct Preterit,they(sing.) did not hear him/her
